region,user_ip,user_port,domain_name,app_type,app_sub_type,start_time,end_time,ul_data,dl_data
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649421259,1409649421489,2732,11231
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649422349,1409649422449,1972,921
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649424739,1409649424829,1831,2660
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649426699,1409649426819,1722,592
NA,10.77.47.17,52194,api.m.taobao.com,15,3,1409649436399,1409649436543,1844,681
NA,10.78.7.55,51463,api.m.taobao.com,15,3,1409649417618,1409649431103,1974,1602
NA,10.78.159.229,61724,api.m.taobao.com,15,3,1409649448284,1409649449593,1779,6561
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649412176,1409649412676,2413,708
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649414416,1409649414626,1669,1503
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649421386,1409649421506,1587,1650
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649421586,1409649421796,1577,632
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649424186,1409649424286,1573,780
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649425596,1409649425946,1650,538
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649426256,1409649426356,1617,650
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649427596,1409649427695,1568,1393
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649430976,1409649431095,1617,1444
NA,10.79.219.233,50316,api.m.taobao.com,15,3,1409649432586,1409649432752,1608,1470
NA,10.80.74.201,58747,api.m.taobao.com,15,3,1409649390561,1409649450970,380,786
NA,10.82.125.192,60781,api.m.taobao.com,15,3,1409649391929,1409649440608,380,746
NA,10.82.125.192,60782,api.m.taobao.com,15,3,1409649392174,1409649440648,380,746
NA,10.82.231.72,54425,api.m.taobao.com,15,3,1409649411152,1409649411842,2911,434
NA,10.83.127.51,33856,api.m.taobao.com,15,3,1409649392347,1409649392457,1744,1276
NA,10.83.127.51,33856,api.m.taobao.com,15,3,1409649417926,1409649418036,1742,1516
NA,10.83.127.51,33856,api.m.taobao.com,15,3,1409649419956,1409649420066,1744,1277
NA,10.83.127.51,33856,api.m.taobao.com,15,3,1409649421446,1409649421556,1742,1515
NA,10.83.127.51,33856,api.m.taobao.com,15,3,1409649423466,1409649423566,1744,1277
NA,10.83.127.51,33856,api.m.taobao.com,15,3,1409649433836,1409649433990,1782,1590
131514388,10.88.76.214,53139,api.m.taobao.com,15,3,1409649434667,1409649439927,1534,529
131514388,10.88.76.214,53140,api.m.taobao.com,15,3,1409649434747,1409649439967,1769,1258
131455498,10.92.76.69,55664,upoll.umengcloud.com,15,332,1409649414131,1409649434375,503,412
NA,10.94.73.202,37594,api.m.taobao.com,15,3,1409649390157,1409649390157,1380,0
NA,10.95.151.64,52854,upoll.umengcloud.com,15,332,1409649392362,1409649392522,422,292
NA,10.105.52.2,52189,api.m.taobao.com,15,3,1409649443077,1409649443308,1467,1543
NA,10.105.52.2,52190,api.m.taobao.com,15,3,1409649443273,1409649443564,1471,2787
NA,10.105.52.2,52191,api.m.taobao.com,15,3,1409649443538,1409649443775,1512,678
NA,10.105.52.2,52192,api.m.taobao.com,15,3,1409649443563,1409649443798,1462,645
NA,10.105.52.2,52195,api.m.taobao.com,15,3,1409649443583,1409649443831,1463,791
NA,10.105.52.2,52197,api.m.taobao.com,15,3,1409649443728,1409649443974,1445,1337
NA,10.105.52.2,52198,api.m.taobao.com,15,3,1409649443808,1409649444021,1463,791
NA,10.95.160.250,46722,ya.tmall.com,15,155,1409649446777,1409649447058,1231,497
